customer_id,first_name,last_name,email,street,city,state,country
0,Julia,Flores,ewilcox@example.net,36931 Walker Court,North Steven,Minnesota,Mauritania
1,Jo,Hansen,kryan@example.com,63229 Katherine Circles Apt. 310,Margaretmouth,Oregon,Equatorial Guinea
2,William,Escobar,bakereric@example.net,36899 Steven Ridges Suite 322,Harrellville,Idaho,Belgium
3,Andrea,Chambers,yhardy@example.com,93945 Kevin Union Apt. 127,Williamfurt,Wisconsin,Saint Barthelemy
4,Jonathan,Hudson,charlesmartinez@example.net,447 Nelson Island Suite 463,Huffmanport,Texas,Taiwan
5,Jerry,Farrell,wstewart@example.com,76021 Larry Light Suite 980,Keithberg,Ohio,Zambia
6,Randy,Martin,stephenmann@example.net,58245 Gordon Points,West Nicholaston,Nevada,Guatemala
7,Tracy,Nguyen,acox@example.org,5375 Schmidt Field Apt. 371,North Olivia,Michigan,American Samoa
8,Troy,Jones,williamsdavid@example.net,08001 Watson Path,Port Steven,Illinois,New Zealand
9,Danny,Nelson,iwells@example.net,2692 Hughes Parkway,North Anthony,Texas,Saint Pierre and Miquelon
10,Bridget,Wolf,jeffreycooper@example.org,62573 Wood Parkway Suite 802,Port Glendaport,Rhode Island,Maldives
11,Kayla,Walter,zlopez@example.com,451 Amanda Wells Suite 449,Nicoleton,Massachusetts,Cook Islands
12,Keith,Matthews,xshaw@example.net,88402 Frederick Brook Suite 337,West Brandy,Mississippi,Comoros
13,Jared,Jones,christopherlynch@example.net,740 Reid Wall,North Anthonystad,Virginia,Colombia
14,William,Chang,ybeck@example.org,6200 Garcia Junctions,Danielhaven,Missouri,Bahrain
15,Gary,Bowers,garciaronald@example.com,8678 Joseph Ramp,West Kellyberg,Iowa,Hungary
16,Jessica,Green,cwilliams@example.com,4348 Moore Dam Suite 675,Lake Cathychester,Massachusetts,Cape Verde
17,Stacey,Murphy,ugarcia@example.com,17807 Debbie Plains Suite 355,North Angelica,Mississippi,Malawi
18,Jaclyn,King,carolmartinez@example.net,18239 Maxwell Ford,East Kevinton,Iowa,Western Sahara
19,Steven,Medina,thomas53@example.net,51375 Sean Streets,Charlesstad,New Hampshire,Dominica
20,Joseph,Sharp,fwest@example.net,353 Christine Pine,Lake Karenberg,South Dakota,Ukraine
21,Steven,Williams,heather81@example.net,96392 Brenda Crossing Suite 582,New Stephanie,Iowa,Bosnia and Herzegovina
22,Jennifer,Jones,kristinagonzalez@example.net,2169 Stephanie Islands,East Christophertown,New Hampshire,Holy See (Vatican City State)
23,Sherri,Rogers,stephanie84@example.com,189 Lewis Bridge,East Johnshire,New Hampshire,Central African Republic
24,Brian,Moss,brittanywilson@example.net,053 Sullivan Spur Apt. 967,North Eric,Massachusetts,North Macedonia
25,Paula,Brewer,nicholas57@example.org,1713 Brian Creek,Medinatown,Wyoming,Gibraltar
26,Kyle,Moreno,dscott@example.org,4966 Chase Bypass,Ferrellborough,North Carolina,Somalia
27,Cindy,Anderson,kimberlyjones@example.org,95216 Welch Green,Dorseyview,Hawaii,Korea
28,Joshua,Humphrey,zboyd@example.com,2362 Cantu Via Suite 780,Jasonhaven,Oklahoma,Kuwait
29,Paula,Brown,ndelacruz@example.org,57941 Brown Locks Apt. 111,Lake Jacobborough,Wisconsin,Saudi Arabia
30,Terri,Suarez,nancyjones@example.com,7169 Turner Villages Suite 845,Jordanville,Vermont,Wallis and Futuna
31,Angela,Ramirez,fgoodwin@example.org,37780 Jason Courts Suite 920,Christopherberg,North Carolina,Saint Lucia
32,Michele,Henderson,harrisjonathan@example.net,591 Castro Springs Apt. 181,Murphyport,Kentucky,Armenia
33,Justin,Tate,trevor23@example.com,4763 Daniel Avenue Suite 392,Alisonshire,North Dakota,Cuba
34,Judy,Jimenez,crystal86@example.com,8121 Ward Corners Apt. 332,South Christopherport,Iowa,Dominican Republic
35,Gwendolyn,Hill,davidtucker@example.com,61273 Morrison Harbor,Emilybury,Indiana,Paraguay
36,Karen,Reeves,rosalesdebbie@example.org,843 Pierce Forge,Lisatown,Kentucky,Niger
37,Stephen,Mays,zdawson@example.org,047 Bryant Trail,East Bobbytown,Missouri,Mexico
38,Anthony,Berry,zjames@example.net,8424 Nolan Oval,Rebekahshire,Florida,Kuwait
39,Heather,Gutierrez,yleonard@example.org,65015 Berry Falls,Rebeccachester,Colorado,Holy See (Vatican City State)
40,Shawn,Campbell,stevenrodriguez@example.net,8706 Jones Drive Apt. 817,Andrewmouth,Maine,Estonia
41,Jeff,Blake,swilson@example.org,699 George Creek Suite 907,Frankbury,Alaska,Uruguay
42,Brittany,Paul,gatesveronica@example.net,844 Taylor Extensions Apt. 256,North Jasmineborough,Florida,Azerbaijan
43,Richard,Ramirez,wadedanny@example.net,339 Tammie Mountains,Port Lindaport,Kentucky,Niue
44,Ashley,Smith,ajones@example.com,133 Torres Prairie,Port Rubenstad,Massachusetts,Paraguay
45,Paige,Odonnell,pmartin@example.com,18432 James Tunnel Apt. 135,Pittmanmouth,Oklahoma,Antarctica (the territory South of 60 deg S)
46,David,Gonzalez,robinlyons@example.com,7894 Roberts Hill Suite 604,Port Juliefurt,Rhode Island,Antarctica (the territory South of 60 deg S)
47,Katherine,Lee,brownnicholas@example.com,662 Cochran Villages Apt. 633,North Jamesshire,Kansas,India
48,Carmen,Walker,hannahwilson@example.com,18838 Robert Fall,West Dustinhaven,Nevada,Albania
49,Jeffrey,Shea,osbornesusan@example.com,731 Kelly Light,Melindachester,Florida,Yemen
50,Meghan,Ryan,maxwelldavid@example.org,154 Jones Groves Apt. 549,Gillespieville,California,Cyprus
51,Christina,Curtis,athornton@example.com,67115 Sophia Station,Jeffreymouth,Hawaii,Reunion
52,Natalie,Cochran,richard06@example.net,3170 Ashley Crescent,Port Nathanborough,Delaware,Cambodia
53,Brenda,Chavez,bryan40@example.org,6402 Natasha Crescent,North Carlamouth,Rhode Island,Antigua and Barbuda
54,Meredith,Garcia,pbell@example.com,32605 Christopher Court Suite 983,Allenmouth,Colorado,Monaco
55,Timothy,Nelson,erik76@example.net,03718 Deborah Extension,Port Janet,Wyoming,Belize
56,Patrick,Garcia,williamsondaniel@example.org,518 Tanya Track,New Stephanie,Iowa,Gambia
57,Joseph,Taylor,smithkelly@example.org,72617 Lucas Centers Suite 709,New Ray,Idaho,Belize
58,Barbara,Wilson,danielhall@example.org,42482 Carpenter Park,North Melissahaven,Iowa,Samoa
59,Shannon,Walsh,kingbrittany@example.net,787 Matthew Summit Suite 174,Mosstown,Indiana,Croatia
60,Justin,Sexton,daniel43@example.com,456 Kimberly Flats Apt. 856,West Joshuastad,Ohio,Papua New Guinea
61,Daniel,Wolfe,holmestaylor@example.net,9448 Tracey Wall Apt. 825,Joshuaburgh,North Carolina,Liechtenstein
62,Melinda,Molina,aarondoyle@example.net,98193 Sanders Crest Suite 189,Hallshire,Montana,Peru
63,Margaret,Mann,hsmith@example.org,40297 Melton Divide Suite 287,Weissmouth,Illinois,Israel
64,Karen,Garcia,jmatthews@example.net,34405 Jeremy Forks,South Maryshire,New York,Botswana
65,Tammy,Hernandez,peterortiz@example.net,451 Brian Mountain,Philliphaven,Vermont,Norfolk Island
66,Alexandra,Cook,steven39@example.net,416 Wilson Centers Suite 154,Port Bryan,Indiana,Belarus
67,Melissa,Marsh,acole@example.com,7346 Emily Pike Apt. 007,Reginaberg,Wisconsin,Sri Lanka
68,Patrick,Jennings,ysweeney@example.com,1688 Lisa Viaduct Apt. 467,Lake Fernandofurt,Washington,Saint Pierre and Miquelon
69,Zachary,Farrell,vbrown@example.net,09910 Nicholas Radial,Vanessafort,Oklahoma,Mongolia
70,Daniel,May,turnerkimberly@example.net,080 Kathryn Manors Apt. 364,West Mirandaton,Florida,Uganda
71,Donald,Luna,lindaharris@example.org,099 Jackson Locks,Lake Sheri,South Carolina,Micronesia
